"X","tax_id","taxon","rank","taxonReads","ncbi_rank","ncbi_name","path","species","genus","family","order","class","phylum","kingdom","clade","superkingdom","sample","fasteris","sampleR","years","ka","Lake"
1341,9172,"Sturnus vulgaris","species",4,"species","Sturnus vulgaris","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Sturnidae; Sturnus; Sturnus vulgaris","Sturnus vulgaris","Sturnus","Sturnidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1342,91951,"Catharus ustulatus","species",3,"species","Catharus ustulatus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Turdidae; Catharus; Catharus ustulatus","Catharus ustulatus","Catharus","Turdidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1343,9223,"Psittaciformes","order",1,"order","Psittaciformes","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Psittaciformes",NA,NA,NA,"Psittaciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1344,9233,"Aptenodytes forsteri","species",1,"species","Aptenodytes forsteri","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Sphenisciformes; Spheniscidae; Aptenodytes; Aptenodytes forsteri","Aptenodytes forsteri","Aptenodytes","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1345,9238,"Pygoscelis adeliae","species",1,"species","Pygoscelis adeliae","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Sphenisciformes; Spheniscidae; Pygoscelis; Pygoscelis adeliae","Pygoscelis adeliae","Pygoscelis","Spheniscidae","Sphenisciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1346,9244,"Calypte anna","species",1,"species","Calypte anna","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Caprimulgimorphae; Apodiformes; Trochilidae; Calypte; Calypte anna","Calypte anna","Calypte","Trochilidae","Apodiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1347,93934,"Coturnix japonica","species",3,"species","Coturnix japonica","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix; Coturnix japonica","Coturnix japonica","Coturnix","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1348,94827,"Tinamus guttatus","species",3,"species","Tinamus guttatus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Palaeognathae; Tinamiformes; Tinamidae; Tinamus; Tinamus guttatus","Tinamus guttatus","Tinamus","Tinamidae","Tinamiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","IE112L-7_S12","IE112L-7","IE112L-7_16.1ka",16100,16.1,"lele"
1349,1002788,"Indicator indicator","species",5,"species","Indicator indicator","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Piciformes; Indicatoridae; Indicator; Indicator indicator","Indicator indicator","Indicator","Indicatoridae","Piciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","ELS167S10","JK105L_5","JK105L_5_14.4ka",14387,14.4,"lele"
1350,109042,"Tympanuchus pallidicinctus","species",2,"species","Tympanuchus pallidicinctus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Tympanuchus; Tympanuchus pallidicinctus","Tympanuchus pallidicinctus","Tympanuchus","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,"Eukaryota","ELS167S10","JK105L_5","JK105L_5_14.4ka",14387,14.4,"lele"
