Order;Family;Genus;Species;Taxon;Species_english;Origin;Distribution;Distr_recent;habitat;habitat_short;migratory_status;diet;Likelihood;new_rank;new_name;comments;group
Galliformes;Phasianidae;Gallus;Gallus gallus;Gallus gallus;Red Jungelfowl;Palaearctic;Holarctic;yes;forest, disturbed;forest;resident;herbivore;medium;species;Gallus gallus;South/East Asian origin, domestic Chicken, thus worldwide;galliformes
Galliformes;Phasianidae;Lagopus;Lagopus lagopus;Lagopus lagopus;Willow Ptarmigan;Palaearctic;Palaearctic;yes;open, mountainous;open;resident;herbivore;high;species;Lagopus lagopus;;galliformes
Galliformes;Phasianidae;Lagopus;Lagopus leucura;Lagopus leucura;White-tailed Ptarmigan;Nearctic;Nearctic;yes;open, mountainous;open;resident;herbivore;low;species;Lagopus leucura;Genus is likely, species is Nearctic;galliformes
Galliformes;Phasianidae;Lagopus;Lagopus muta;Lagopus muta;Rock Ptarmigan;Palaearctic;Palaearctic;yes;open, mountainous;open;resident;herbivore;high;species;Lagopus muta;;galliformes
Galliformes;Phasianidae;Meleagris;Meleagris gallopavo;Meleagris gallopavo;Wild Turkey;Nearctic;Nearctic;no;any, from open to forest;diverse;resident;herbivore;low;family;Phasianidae;;galliformes
Galliformes;Phasianidae;Phasianus;Phasianus colchicus;Phasianus colchicus;Common Pheasant;Palaearctic;Holarctic;yes;open grassland;open;resident;herbivore;high;species;Phasianus colchicus;Origin: Mongolia, Northeast China, and the Russian Far East, introduced Holarctic;galliformes
Galliformes;Phasianidae;Tetrastes;Tetrastes bonasia;Tetrastes bonasia;Hazel Grouse;Palaearctic;Palaearctic;yes;forest;forest;resident;herbivore;high;species;Tetrastes bonasia;;galliformes
Galliformes;Phasianidae;Tympanuchus;Tympanuchus pallidicinctus;Tympanuchus pallidicinctus;Lesser Prairie-chicken;Nearctic;Nearctic;no;grassland;open;resident;herbivore;medium;genus;Tympanuchus;T. phasianellus NA towards Canada, Alaska;galliformes
Gaviiformes;Gaviidae;Gavia;Gavia stellata;Gavia stellata;Red-throated Loon;Palaearctic;Palaearctic;yes;aquatic;water;short-distance;piscivore;high;species;Gavia stellata;northern Palaearctic;waterfowl
Gruiformes;Gruidae;Balearica;Balearica regulorum gibbericeps;Balearica regulorum gibbericeps;Gray Crowned-Crane;African;African;no;wetland;water;resident;omnivore;low;family;Gruidae;cranes;waterfowl
Gruiformes;Gruidae;Grus;Grus americana;Grus americana;Whooping Crane;Nearctic;Nearctic;yes;wetland, freshwater;water;NA;piscivore;low;genus;Grus;Genus is likely, species is Nearctic;gruiformes
Gruiformes;Otididae;Chlamydotis;Chlamydotis macqueenii;Chlamydotis macqueenii;MacQueen's Bustard;Palaearctic;Palaearctic: Asia;yes;open grassland;open;partial migrant;omnivore;high;species;Chlamydotis macqueenii;;gruiformes
Passeriformes;Alaudidae;Eremophila;Eremophila alpestris;Eremophila alpestris;Horned Lark;Holarctic;Holarctic;yes;open;open;long-distance;omnivore;high;species;Eremophila alpestris;;small_birds
Passeriformes;Corvidae;Corvus;Corvus hawaiiensis;Corvus hawaiiensis;NA;Central Pacific;Central Pacific;no;tropic forest;forest;resident;omnivore;low;genus;Corvus;Group to genus Corvus;crows
Passeriformes;Corvidae;Corvus;Corvus kubaryi;Corvus kubaryi;NA;West Pacific;West Pacific;no;tropic forest;forest;resident;omnivore;low;genus;Corvus;Group to genus Corvus;crows
Passeriformes;Corvidae;Corvus;Corvus moneduloides;Corvus moneduloides;;South Pacific;New Caledonia;no;tropic forest;forest;resident;omnivore;low;genus;Corvus;Group to genus Corvus;crows
Passeriformes;Corvidae;Corvus;Corvus brachyrhynchos;Corvus brachyrhynchos;;Nearctic;Nearctic;yes;any, forest, shrubland;diverse;resident;omnivore;low;species;Corvus brachyrhynchos;Group to genus Corvus;crows
Passeriformes;Corvidae;Corvus;Corvus cornix cornix;Corvus cornix cornix;Hooded Crow;Palaearctic;Palaearctic;yes;any, forest, shrubland;diverse;resident;omnivore;high;species;Corvus cornix;Group to genus Corvus;crows
Passeriformes;Fringillidae;Leucosticte;Leucosticte brandti;Leucosticte brandti;Black-headed Mountain Finch;Palaearctic;Palaearctic;yes;open grassland, alpine;open;resident;herbivore;high;species;Leucosticte brandti;China, Tibet, Mongolia;small_birds
Passeriformes;Fringillidae;Serinus;Serinus canaria;Serinus canaria;Atlantic canary;Palaearctic;Palaearctic;no;open shrubland, woodland;diverse;resident;herbivore;medium;genus;Serinus;genus yes, e.g. red-fronted serin in central asian mountains, european serin, species no: Canary islands;small_birds
Passeriformes;Hirundinidae;Cecropis;Cecropis daurica;Cecropis daurica;Red-rumped Swallow;Palaearctic;Palaearctic;yes;rocky, monane, inland cliffs, artificial;diverse;long-distance;invertebrates;high;species;Cecropis daurica;recent distribution also northern Mongolia, closely related to Hinrundo rustica;small_birds
Passeriformes;Hirundinidae;Hirundo;Hirundo rustica;Hirundo rustica;Barn Swallow;Holarctic;Holarctic;yes;open, cliffs;open;long-distance;invertebrates;high;species;Hirundo rustica;;small_birds
Passeriformes;Hirundinidae;Progne;Progne chalybea;Progne chalybea;Grey-breasted Martin;Neotropic;Neotropic;no;diverse;diverse;partial migrant;invertebrates;medium;genus;Progne;progne subis up to british columbia, purple martin;aerial
Passeriformes;Icteridae;Agelaius;Agelaius phoeniceus;Agelaius phoeniceus;Red-winged Blackbird;Nearctic;Nearctic;yes;wetland, marshes;water;partial migrant;omnivore;high;species;Agelaius phoeniceus;All over USA, Canada, up to Bering strait Alaska;small_birds
Passeriformes;Icteridae;Molothrus;Molothrus ater;Molothrus ater;Brown-headed Cowbird;Nearctic;Nearctic;no;open, semiopen;open;medium-distance;omnivore;medium;family;Icteridae;species up north to Canada, family Alaska (red-winged blackbird);small_birds
Passeriformes;Motacillidae;Motacilla;Motacilla alba alba;Motacilla alba alba;White Wagtail;Palaearctic;Palaearctic;yes;open, wetland;open;partial migrant;invertebrates;high;species;Motacilla alba;;small_birds
Passeriformes;Muscicapidae;Ficedula;Ficedula semitorquata;Ficedula semitorquata;Semicollared Flycatcher;Palaearctic;Palaearctic;no;mountainous mixed+decidous forest, winters in open grassland in Africa;forest;long-distance;invertebrates;low;genus;Ficedula;Middle Eastern mountains;small_birds
Passeriformes;Muscicapidae;Ficedula;Ficedula albicollis;Ficedula albicollis;Collared Flycatcher;Palaearctic;Palaearctic;yes;forest, shubland;forest;long-distance;invertebrates;medium;species;Ficedula albicollis;southern Palaearctic, more likely is Ficedula albicilla;small_birds
Passeriformes;Muscicapidae;Oenanthe;Oenanthe melanoleuca;Oenanthe melanoleuca;(Eastern) Black-eared Wheatear;Palaearctic;Palaearctic;yes;open grassland;open;long-distance;invertebrates;medium;species;Oenanthe melanoleuca;genus high, species: South Europe towards North Africa;small_birds
