"X","tax_id","taxon","rank","taxonReads","ncbi_rank","ncbi_name","path","species","genus","family","order","class","phylum","kingdom","clade","superkingdom","sample","lib_id","lib_id_order","years","ka","Lake"
11,194338,"Athene cunicularia","species",1,"species","Athene cunicularia","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Strigiformes; Strigidae; Athene; Athene cunicularia","Athene cunicularia","Athene","Strigidae","Strigiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
12,219594,"Aythya fuligula","species",1,"species","Aythya fuligula","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Aythyinae; Aythya; Aythya fuligula","Aythya fuligula","Aythya","Anatidae","Anseriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
13,30409,"Lagopus","genus",3,"genus","Lagopus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Lagopus",NA,"Lagopus","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
14,30455,"Fulmarus glacialis","species",1,"species","Fulmarus glacialis","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Procellariiformes; Procellariidae; Fulmarus; Fulmarus glacialis","Fulmarus glacialis","Fulmarus","Procellariidae","Procellariiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
15,30464,"Nothoprocta perdicaria","species",2,"species","Nothoprocta perdicaria","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Palaeognathae; Tinamiformes; Tinamidae; Nothoprocta; Nothoprocta perdicaria","Nothoprocta perdicaria","Nothoprocta","Tinamidae","Tinamiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
16,356909,"Onychostruthus taczanowskii","species",1,"species","Onychostruthus taczanowskii","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Passeroidea; Passeridae; Onychostruthus; Onychostruthus taczanowskii","Onychostruthus taczanowskii","Onychostruthus","Passeridae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
17,400783,"Thraupidae","family",1,"family","Thraupidae","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Thraupidae",NA,NA,"Thraupidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
18,40204,"Melozone crissalis","species",1,"species","Melozone crissalis","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Passerellidae; Melozone; Melozone crissalis","Melozone crissalis","Melozone","Passerellidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
19,415028,"Corapipo altera","species",1,"species","Corapipo altera","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Pipridae; Corapipo; Corapipo altera","Corapipo altera","Corapipo","Pipridae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
20,433628,"Butorides striata","species",1,"species","Butorides striata","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Pelecaniformes; Ardeidae; Butorides; Butorides striata","Butorides striata","Butorides","Ardeidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,"Eukaryota","JK079L-1_S1","JK079L-1","01_JK079L-1_33.65ka",33652,33.65,"btoko"
