"X","tax_id","taxon","rank","taxonReads","ncbi_rank","ncbi_name","path","species","genus","family","order","class","phylum","kingdom","clade","superkingdom","sample","lib_id","lib_id_order","years","ka","Lake"
21,9126,"Passeriformes","order",2,"order","Passeriformes","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes",NA,NA,NA,"Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210409_A00902_B_L1-2_APMG-28-19","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
22,9135,"Serinus canaria","species",1,"species","Serinus canaria","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Passeroidea; Fringillidae; Carduelinae; Serinus; Serinus canaria","Serinus canaria","Serinus","Fringillidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210409_A00902_B_L1-2_APMG-28-19","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
23,9223,"Psittaciformes","order",1,"order","Psittaciformes","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Psittaciformes",NA,NA,NA,"Psittaciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210409_A00902_B_L1-2_APMG-28-19","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
24,93934,"Coturnix japonica","species",1,"species","Coturnix japonica","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Perdicinae; Coturnix; Coturnix japonica","Coturnix japonica","Coturnix","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210409_A00902_B_L1-2_APMG-28-19","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
25,1002788,"Indicator indicator","species",1,"species","Indicator indicator","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Piciformes; Indicatoridae; Indicator; Indicator indicator","Indicator indicator","Indicator","Indicatoridae","Piciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210602_A00902_B_L001_APMG-34-12","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
26,1094192,"Motacilla alba alba","subspecies",1,"subspecies","Motacilla alba alba","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla; Motacilla alba; Motacilla alba alba","Motacilla alba","Motacilla","Motacillidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210602_A00902_B_L001_APMG-34-12","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
27,118200,"Dryobates pubescens","species",9,"species","Dryobates pubescens","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Piciformes; Picidae; Dryobates; Dryobates pubescens","Dryobates pubescens","Dryobates","Picidae","Piciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210602_A00902_B_L001_APMG-34-12","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
28,148594,"Falco naumanni","species",1,"species","Falco naumanni","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Falconiformes; Falconidae; Falco; Falco naumanni","Falco naumanni","Falco","Falconidae","Falconiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210602_A00902_B_L001_APMG-34-12","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
29,1549675,"Galloanserae","superorder",1,"superorder","Galloanserae","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae",NA,NA,NA,NA,"Aves","Chordata","Metazoa",NA,"Eukaryota","210602_A00902_B_L001_APMG-34-12","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
30,156563,"Cyanistes caeruleus","species",2,"species","Cyanistes caeruleus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Paridae; Cyanistes; Cyanistes caeruleus","Cyanistes caeruleus","Cyanistes","Paridae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","210602_A00902_B_L001_APMG-34-12","JK126L","ESL001-17.7 ka",17721.54486,17.72,"Naleng"
